index,depth,mean_SN_ratio,Fracture_Type,azimuth,dip
999,70.98,0.24984006955181526,2,246.93,52.5
142,21.51,0.24973021153824018,2,245.98,58.05
646,50.57,0.2496583732100374,2,246.73,55.46
121,20.72,0.24945575739436973,2,343.42,74.2
1045,74.28,0.24924165467827178,2,231.67,61.92
112,20.29,0.2492300307185168,2,192.36,49.51
268,34.26,0.24919773630163575,2,246.91,48.88
873,65.3,0.24905403832545484,2,35.33,58.44
530,45.22,0.24902448134086036,2,342.65,75.95
756,55.05,0.2489594554966749,2,347.81,67.03
816,61.13,0.24890902272993787,2,229.58,60.57
614,49.44,0.24887600420903366,2,244.88,61.39
472,42.99,0.24882887787686722,2,191.48,49.81
265,34.07,0.2487910265944314,2,247.07,48.67
817,61.16,0.24875379307398057,2,247.27,49.64
851,64.22,0.24869205167839084,2,0.08,59.44
334,37.43,0.2486249680794007,2,244.77,61.83
172,24.31,0.24853705911031423,2,349.68,65.08
813,60.99,0.24853280572143166,2,246.67,58.05
582,48.31,0.248472076271393,2,246.32,59.09
994,70.72,0.24840296340121543,2,246.34,59.14
437,41.55,0.24826345412656664,2,349.36,65.22
564,47.17,0.24819218440912286,2,246.51,59.02
380,39.04,0.24814607206253778,2,29.79,57.04
291,35.42,0.24812373723897738,2,245.81,60.65
191,29.01,0.24803735700404872,2,57.95,80.34
972,69.94,0.2479789111086219,2,243.38,64.12
968,69.8,0.24789299403015852,2,241.89,65.33
64,15.31,0.2478927365527891,2,224.82,30.31
1010,71.37,0.24787969312576597,2,240.95,65.79
353,38.09,0.24786904529468154,2,247.77,54.73
640,50.3,0.24777171000912462,2,244.56,63.0
239,33.03,0.24762475110444918,2,247.96,54.09
509,44.22,0.24762142267986795,2,247.79,55.44
158,22.85,0.24756353515445134,2,247.75,49.05
406,40.1,0.2473258233565343,2,158.87,66.26
76,15.87,0.24731617769928907,2,248.18,52.06
255,33.62,0.24722379917435786,2,18.06,56.03
252,33.55,0.24718141627298817,2,246.7,59.96
178,25.13,0.24700219672509646,2,343.34,71.89
70,15.69,0.2469873717593805,2,225.52,30.18
144,21.57,0.24679635179772916,2,344.11,70.4
79,16.01,0.24678684519443916,2,176.04,29.52
441,41.67,0.246781784279866,2,179.56,28.77
764,55.99,0.24670038152122084,2,353.02,61.96
175,24.72,0.2465615903458745,2,349.04,64.7
104,19.61,0.24654396591112207,2,246.42,61.34
66,15.46,0.2465399925597352,3,246.66,44.32
272,34.47,0.2464914374559202,2,246.73,60.77
521,44.77,0.24636752672626372,2,178.81,28.78
844,63.7,0.24631047459781444,2,248.5,50.03
261,33.83,0.24618835572726377,2,247.95,57.92
700,52.66,0.24615513481107926,2,240.07,67.43
552,46.54,0.24612131011398997,2,243.45,65.73
880,65.59,0.24609675285113142,2,243.06,66.08
517,44.51,0.2460334394892759,2,203.04,26.84
967,69.73,0.24601540745775585,2,241.9,66.92
1034,72.87,0.24592758431404066,2,235.97,66.7
329,37.23,0.24589935770679514,2,248.74,54.54
913,67.8,0.2458931985782642,2,247.39,60.01
540,45.92,0.24583510597031366,2,247.34,60.21
109,19.98,0.2457286078348543,2,246.73,61.67
301,35.8,0.24571915436693234,2,248.89,53.75
960,69.51,0.24564468102542436,2,244.49,65.11
115,20.38,0.24555537845819078,2,155.13,40.01
555,46.67,0.2455489193636782,2,248.99,53.34
616,49.53,0.2454703644141398,2,243.98,65.81
257,33.72,0.24543267131941038,2,235.34,66.67
223,31.95,0.2454103683953827,2,248.56,57.02
840,63.6,0.24540061147437126,2,221.84,56.43
283,34.95,0.24533644319860293,2,248.43,57.7
290,35.36,0.24527441428822122,2,245.16,64.64
165,23.3,0.24521259357703407,2,345.31,67.76
259,33.76,0.24516946765831846,2,248.61,57.3
869,65.1,0.24504411793519704,2,249.2,51.3
1026,72.39,0.24491222564407392,2,248.06,45.71
