Depth,Temperature,FCond
35.08,25.436,596.422
35.13,25.4778,596.23
35.18,25.4711,596.896
35.23,25.4711,595.656
35.28,25.4778,596.809
35.33,25.4711,596.224
35.38,25.4711,596.04
35.43,25.4886,597.323
35.48,25.4962,595.69
35.53,25.4886,596.931
35.58,25.4962,595.306
35.63,25.5145,595.455
35.68,25.4778,597.236
35.73,25.4962,596.761
35.78,25.4962,595.857
35.83,25.5237,595.857
35.88,25.4962,596.141
35.93,25.5237,596.259
35.98,25.4962,596.911
36.03,25.5062,596.393
36.08,25.5237,595.851
36.13,25.5329,597.297
36.18,25.5237,596.33
36.23,25.5329,597.04
36.28,25.5329,595.793
36.33,25.5513,595.927
36.38,25.5588,596.232
36.43,25.5329,597.238
36.48,25.5513,596.599
36.53,25.5588,596.366
36.58,25.5697,596.981
36.63,25.5588,595.73
36.68,25.5697,596.852
36.73,25.5413,595.73
36.78,25.5763,596.047
36.83,25.5513,596.63
36.88,25.5588,596.232
36.93,25.5697,597.238
36.98,25.5513,596.537
37.03,25.5763,596.77
37.08,25.5697,597.531
37.13,25.588,596.806
37.18,25.588,596.573
37.23,25.5939,596.573
37.28,25.6064,597.695
37.33,25.6114,596.475
37.38,25.6064,597.602
37.43,25.5939,597.014
37.48,25.629,596.793
37.53,25.6432,597.766
37.58,25.6465,596.414
37.63,25.6248,597.544
37.68,25.6616,596.916
37.73,25.6432,596.316
37.78,25.6616,596.549
37.83,25.6616,597.667
37.88,25.6616,596.451
37.93,25.6616,596.316
37.98,25.6641,596.316
38.03,25.6616,597.193
38.08,25.6816,596.451
38.13,25.6616,596.971
38.18,25.6641,596.182
38.23,25.6816,595.777
38.28,25.6616,596.842
38.33,25.6816,596.182
38.38,25.6616,596.971
38.43,25.6616,596.047
38.48,25.6616,596.451
38.53,25.6799,596.586
38.58,25.6465,597.57
38.63,25.6799,596.77
38.68,25.6799,596.354
38.73,25.6816,598.247
38.78,25.6991,596.584
38.83,25.6983,597.265
38.88,25.6816,596.256
38.93,25.7167,596.198
38.98,25.6991,597.511
39.03,25.7167,596.233
39.08,25.6991,596.294
39.13,25.7167,597.136
39.18,25.6983,596.159
39.23,25.7167,596.661
39.28,25.7167,597.314
39.33,25.7167,597.819
39.38,25.7351,596.699
39.43,25.7342,596.737
39.48,25.7351,597.597
39.53,25.7518,596.467
39.58,25.7518,597.504
39.63,25.7351,596.6
39.68,25.7693,597.143
39.73,25.7518,597.93
39.78,25.7902,596.729
39.83,25.7718,597.802
39.88,25.7869,596.543
39.93,25.7902,596.415
39.98,25.7902,597.937
40.03,25.7718,596.852
40.08,25.8044,597.355
40.13,25.8044,597.875
40.18,25.7902,596.581
40.23,25.8269,597.259
40.28,25.8219,598.153
40.33,25.8395,597.006
40.38,25.8395,597.691
40.43,25.8453,596.656
40.48,25.857,596.563
40.53,25.8453,597.34
40.58,25.8637,596.97
40.63,25.8518,596.603
40.68,25.8637,596.604
40.73,25.857,597.961
40.78,25.8453,596.305
40.83,25.8746,596.834
40.88,25.8637,597.508
40.93,25.8453,596.061
40.98,25.8746,596.293
41.03,25.8637,596.86
41.08,25.857,596.332
41.13,25.8395,597.211
41.18,25.8453,596.656
41.23,25.8821,596.563
41.28,25.8453,596.914
41.33,25.8453,596.563
41.38,25.857,596.699
41.43,25.857,597.6
41.48,25.857,596.047
41.53,25.857,597.211
41.58,25.8637,596.305
41.63,25.8677,596.332
41.68,25.8821,596.688
41.73,25.8746,596.101
41.78,25.857,597.378
