     Depth,Temperature,TC FCond 25'C
         m,      deg C,        uS/cm
     34.18,    24.5732,      770.475
     34.23,    24.5923,      768.484
     34.28,    24.5902,      770.732
     34.33,    24.5732,      771.154
     34.38,    24.5923,       768.74
     34.43,     24.576,      770.475
     34.48,    24.6115,      770.657
     34.53,      24.57,      770.412
     34.58,    24.5923,      769.591
     34.63,    24.5923,       770.99
     34.68,    24.6115,       770.99
     34.73,    24.5732,       770.67
     34.78,    24.5923,      768.996
     34.83,    24.6115,       770.99
     34.88,    24.5942,       770.67
     34.93,    24.6115,      770.597
     34.98,    24.6104,      771.702
     35.03,    24.6133,      769.729
     35.08,    24.6104,      770.418
     35.13,    24.6104,      772.452
     35.18,    24.6115,      770.001
     35.23,    24.6306,      771.702
     35.28,    24.6115,      771.381
     35.33,    24.6115,       771.96
     35.38,    24.6124,      769.383
     35.43,    24.6124,      771.273
     35.48,    24.6124,      771.027
     35.53,    24.6115,      771.027
     35.58,    24.6124,      771.702
     35.63,    24.6306,      771.273
     35.68,    24.6115,      771.123
     35.73,    24.6104,       771.96
     35.78,    24.6306,      769.729
     35.83,    24.6306,      771.381
     35.88,    24.6306,       771.64
     35.93,    24.6306,      769.064
     35.98,    24.6306,      771.898
     36.03,    24.6306,      770.968
     36.08,    24.6306,       771.64
     36.13,    24.6472,      770.595
     36.18,    24.6306,      771.762
     36.23,    24.6306,      771.213
     36.28,    24.6306,      770.968
     36.33,    24.6488,      770.968
     36.38,    24.6115,      770.664
     36.43,    24.6488,       769.64
     36.48,    24.6498,      770.419
     36.53,    24.6306,      771.061
     36.58,    24.6488,      771.381
     36.63,    24.6498,      770.664
     36.68,    24.6306,      771.061
     36.73,    24.6488,      769.064
     36.78,    24.6498,      770.664
     36.83,    24.6488,      771.319
     36.88,    24.6498,      770.419
     36.93,    24.6488,      771.319
     36.98,    24.6498,      770.664
     37.03,    24.6488,      771.061
     37.08,     24.667,      770.664
     37.13,    24.6306,       770.36
     37.18,    24.6689,      769.064
     37.23,    24.6488,      770.999
     37.28,    24.6689,      770.909
     37.33,    24.6488,      770.999
     37.38,    24.6488,      770.664
     37.43,     24.667,      770.909
     37.48,    24.6498,       770.36
     37.53,    24.6498,      771.319
     37.58,     24.667,      768.745
     37.63,    24.6689,       770.36
     37.68,    24.6488,      770.999
     37.73,    24.6689,      770.909
     37.78,     24.667,      770.999
     37.83,    24.6689,       770.36
     37.88,     24.667,      771.258
     37.93,    24.6498,      770.605
     37.98,     24.667,      769.001
     38.03,    24.6689,       770.36
     38.08,     24.667,      770.999
     38.13,     24.667,       770.36
     38.18,     24.667,      770.605
     38.23,     24.667,      770.605
     38.28,    24.6689,      770.605
     38.33,     24.667,      770.999
     38.38,     24.667,       770.36
     38.43,    24.6881,      770.605
     38.48,     24.667,      770.938
     38.53,     24.667,      770.605
     38.58,     24.667,      770.605
     38.63,    24.6689,      770.605
     38.68,     24.667,      768.939
     38.73,    24.6689,      770.851
     38.78,    24.6852,      771.258
     38.83,     24.667,      770.302
     38.88,    24.6852,      770.605
     38.93,     24.667,      770.302
     38.98,     24.667,      770.605
     39.03,    24.6852,      770.605
     39.08,     24.667,      770.057
     39.13,    24.6852,       770.36
     39.18,    24.6852,      770.057
     39.23,    24.6689,      770.302
     39.28,    24.6852,      770.999
     39.33,    24.6881,      770.057
     39.38,     24.667,       770.68
     39.43,    24.6689,      770.605
     39.48,     24.667,      768.682
     39.53,    24.6852,      770.605
     39.58,     24.667,      770.547
     39.63,    24.6881,      770.605
     39.68,    24.6852,      770.938
     39.73,     24.667,      770.547
     39.78,    24.6852,      770.605
     39.83,    24.7034,      770.547
     39.88,    24.6852,      769.998
     39.93,    24.6881,      770.302
     39.98,    24.6852,      771.196
     40.03,    24.7034,      770.792
     40.08,    24.6881,      770.243
     40.13,    24.6852,      771.196
     40.18,    24.6881,      770.547
     40.23,    24.6852,      768.877
     40.28,    24.7034,      770.547
     40.33,    24.6852,      770.243
     40.38,    24.6881,      770.547
     40.43,    24.6852,      771.196
     40.48,    24.7034,      770.792
     40.53,    24.6852,      770.243
     40.58,    24.7073,      770.792
     40.63,    24.6852,      770.876
     40.68,    24.6852,      770.547
     40.73,    24.7073,      770.547
     40.78,    24.6852,      770.876
     40.83,    24.6881,      770.547
     40.88,    24.7034,      768.877
     40.93,    24.7034,      770.243
     40.98,    24.6852,      770.243
     41.03,    24.7073,      770.302
     41.08,    24.7034,      770.618
     41.13,    24.7034,      769.998
     41.18,    24.7034,      769.754
     41.23,    24.7034,      769.998
     41.28,    24.7034,      769.754
     41.33,    24.7034,      769.998
     41.38,    24.7073,      769.754
     41.43,    24.7034,       770.36
     41.48,    24.7073,      769.754
     41.53,    24.7034,       770.36
     41.58,    24.7073,      769.754
     41.63,    24.7034,      768.045
     41.68,    24.7034,      769.998
     41.73,    24.7034,      769.754
     41.78,    24.7264,      769.509
     41.83,    24.7034,      770.041
     41.88,    24.7216,      769.998
     41.93,    24.7034,      769.695
     41.98,    24.7216,      769.998
     42.03,    24.7034,      769.695
     42.08,    24.7264,      770.243
     42.13,    24.7034,      770.299
     42.18,    24.7216,      770.243
     42.23,    24.7264,       769.94
     42.28,    24.7034,      770.557
     42.33,    24.7216,      770.243
     42.38,    24.7173,       769.94
     42.43,    24.7216,      769.849
     42.48,    24.7073,       769.94
     42.53,    24.7216,      771.135
     42.58,    24.7216,       769.94
     42.63,    24.7216,      770.185
     42.68,    24.7216,       769.94
     42.73,    24.7216,       769.94
     42.78,    24.7073,      770.185
     42.83,    24.7216,      768.558
     42.88,    24.7216,       769.94
     42.93,    24.7264,       769.94
     42.98,    24.7216,      770.815
     43.03,    24.7264,      770.185
     43.08,    24.7216,      770.557
     43.13,    24.7216,      770.185
     43.18,    24.7216,       769.94
     43.23,    24.7216,      770.185
     43.28,    24.7216,       769.94
     43.33,    24.7264,       769.94
     43.38,    24.7216,      770.299
     43.43,    24.7216,       769.94
     43.48,    24.7398,      769.695
     43.53,    24.7216,      769.637
     43.58,    24.7216,       769.94
     43.63,    24.7073,       769.94
     43.68,    24.7398,      768.301
     43.73,    24.7264,      770.127
     43.78,    24.7216,      770.557
     43.83,    24.7216,      770.185
     43.88,    24.7398,       770.43
     43.93,    24.7216,      769.882
     43.98,    24.7264,      770.185
     44.03,    24.7216,      770.815
     44.08,    24.7398,       770.43
     44.13,    24.7216,      769.637
     44.18,    24.7398,      770.185
     44.23,    24.7216,      769.637
     44.28,    24.7398,      769.695
     44.33,    24.7264,      769.882
     44.38,    24.7398,      770.557
     44.43,    24.7264,      770.127
     44.48,    24.7398,      768.496
     44.53,    24.7398,      769.882
     44.58,    24.7216,      769.637
     44.63,    24.7398,       769.94
     44.68,    24.7398,      769.882
     44.73,    24.7398,      769.637
     44.78,    24.7398,      769.882
     44.83,    24.7216,      769.882
     44.88,    24.7398,      770.185
     44.93,    24.7398,      769.637
     44.98,    24.7456,      769.882
